valid_time,model_level,latitude,longitude,expver,t
1/1/2013,1,73,350,1,219.29942
1/1/2013,1,73,351,1,219.31651
1/1/2013,1,73,352,1,219.33995
1/1/2013,1,73,353,1,219.38927
1/1/2013,1,73,354,1,219.47911
1/1/2013,1,73,355,1,219.61583
1/1/2013,1,73,356,1,219.79552
1/1/2013,1,73,357,1,220.00694
1/1/2013,1,73,358,1,220.23106
1/1/2013,1,73,359,1,220.44786
1/1/2013,1,72,0,1,208.37022
1/1/2013,1,72,310,1,208.25157
1/1/2013,1,72,311,1,208.13927
1/1/2013,1,72,312,1,208.05528
1/1/2013,1,72,313,1,208.01036
1/1/2013,1,72,314,1,208.00743
1/1/2013,1,72,315,1,208.04454
1/1/2013,1,72,316,1,208.11974
1/1/2013,1,72,317,1,208.23302
1/1/2013,1,72,318,1,208.38487
1/1/2013,1,72,319,1,208.57579
1/1/2013,1,72,320,1,208.80186
1/1/2013,1,72,321,1,209.05968
1/1/2013,1,72,322,1,209.3463
1/1/2013,1,72,323,1,209.66222
1/1/2013,1,72,324,1,210.0089
1/1/2013,1,72,325,1,210.38438
1/1/2013,1,72,326,1,210.78233
1/1/2013,1,72,327,1,211.19151
1/1/2013,1,72,328,1,211.59972
1/1/2013,1,72,329,1,211.99864
1/1/2013,1,72,330,1,212.38634
1/1/2013,1,72,331,1,212.76622
1/1/2013,1,72,332,1,213.14366
1/1/2013,1,72,333,1,213.52403
1/1/2013,1,72,334,1,213.91026
1/1/2013,1,72,335,1,214.3048
1/1/2013,1,72,336,1,214.70909
1/1/2013,1,72,337,1,215.12462
1/1/2013,1,72,338,1,215.5465
1/1/2013,1,72,339,1,215.96642
1/1/2013,1,72,340,1,216.37022
1/1/2013,1,72,341,1,216.74376
1/1/2013,1,72,342,1,217.07774
1/1/2013,1,72,343,1,217.37022
1/1/2013,1,72,344,1,217.62413
1/1/2013,1,72,345,1,217.84386
1/1/2013,1,72,346,1,218.0294
1/1/2013,1,72,347,1,218.17638
1/1/2013,1,72,348,1,218.28136
1/1/2013,1,72,349,1,218.34727
1/1/2013,1,72,350,1,218.38976
1/1/2013,1,72,351,1,218.43272
1/1/2013,1,72,352,1,218.50548
